soal,versi-soal,prob_benar_menjawab,level,stanza,gpt,manual
"Pengklasifikasian sederhana dapat dilakukan berdasarkan manfaatnya. Sebagai contoh, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat ditempatkan dalam satu kelompok",058v002,"1,00",1,"Pengklasifikasian/NSD sederhana/ASP dapat/VSA dilakukan/VSP berdasarkan/VSA manfaat/NSD nya/PS3 ./Z-- Sebagai/R-- contoh/NSD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/X-- gajah/F-- ,/Z-- dan/H-- aglonema/X-- dapat/VSA ditempatkan/VSP dalam/ASP satu/CC- kelompok/NSD","Pengklasifikasian/NSD sederhana/ASP dapat/VSA dilakukan/VSP berdasarkan/R-- manfaatnya/NSD PAD/PAD ./Z-- Sebagai/R-- contoh/NSD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA ditempatkan/VSP dalam/R-- satu/O-- kelompok/NSD  ","Pengklasifikasian/NSD sederhana/ADJ dapat/VSA dilakukan/VSP berdasarkan/R-- manfaat/NSD nya/PRF ./Z-- Sebagai/R-- contoh/NSD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CCA aglonema/NSD dapat/VSA ditempatkan/VSP dalam/R-- satu/NUM kelompok/NUM"
"Sistem klasifikasi bisa lebih mudah dengan memperhatikan kegunaannya. Contohnya, tanaman seperti bunga mawar, melati, kuping gajah, dan aglonema dapat diatur dalam satu kelompok",058v003,"1,00",1,"Sistem/NSD klasifikasi/NSD bisa/M-- lebih/D-- mudah/ASP dengan/R-- memperhatikan/VSA kegunaan/NSD nya/PS3 ./Z-- Contohnya/B-- PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/X-- gajah/F-- ,/Z-- dan/H-- aglonema/X-- dapat/VSA diatur/VSP dalam/ASP satu/CC- kelompok/NSD","Sistem/NSD klasifikasi/NSD bisa/VSA lebih/B-- mudah/ASP dengan/R-- memperhatikan/VSA kegunaannya/NSD PAD/PAD ./Z-- Contohnya/NSD PAD/PAD ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CC- aglonema/NSD dapat/VSA diatur/VSP dalam/R-- satu/O-- kelompok/NSD  ","Sistem/NSD klasifikasi/NSD bisa/VSA lebih/ADV mudah/ADJ dengan/R-- memperhatikan/VBT kegunaan/NSD nya/PRF ./Z-- Contoh/NSD nya/PRF ,/Z-- tanaman/NSD seperti/R-- bunga/NSD mawar/NSD ,/Z-- melati/NSD ,/Z-- kuping/NSD gajah/NSD ,/Z-- dan/CCA aglonema/NSD dapat/VSA diatur/VSP dalam/R-- satu/NUM kelompok/NUM"
"Perhatikan beberapa hewan berikut : 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. Berdasarkan filogenik hubungan kekerabatan yang paling dekat adalah",059v001,"0,85",1,"Perhatikan/VSA beberapa/B-- hewan/NSD berikut/VSA :/Z-- 1/CC- )/Z-- Gorilla/X-- ,/Z-- 2/CC- )/Z-- Kuda/NSD ,/Z-- 3/CC- )/Z-- Kambing/NSD ,/Z-- 4/CC- )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CC- )/Z-- Keledai/NSD ,/Z-- 6/CC- )/Z-- Simpanse/X-- ./Z-- Berdasarkan/VSA filogenik/NSD hubungan/NSD kekerabatan/NSD yang/S-- paling/D-- dekat/ASP adalah/O--","Perhatikan/VSA beberapa/O-- hewan/NSD berikut/ASP :/Z-- 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z-- Berdasarkan/R-- filogenik/NSD hubungan/NSD kekerabatan/NSD yang/S-- paling/ASP dekat/ASP adalah/VSP  ","Perhatikan/VBI beberapa/NUM hewan/NSD berikut/ADV :/Z-- 1/CD )/Z-- Gorilla/NSD ,/Z-- 2/CD )/Z-- Kuda/NSD ,/Z-- 3/CD )/Z-- Kambing/NSD ,/Z-- 4/CD )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CD )/Z-- Keledai/NSD ,/Z-- 6/CD )/Z-- Simpanse/NSD ./Z-- Berdasarkan/VBT filogenik/NSD hubungan/NSD kekerabatan/NSD yang/S-- paling/ADV dekat/ADJ adalah/VBL"
"Hewan dengan hubungan kekerabatan terdekat adalah 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. ",059v002,"0,90",1,"Hewan/NSD dengan/R-- hubungan/NSD kekerabatan/X-- terdekat/ASS adalah/O-- 1/CC- )/Z-- Gorilla/X-- ,/Z-- 2/CC- )/Z-- Kuda/NSD ,/Z-- 3/CC- )/Z-- Kambing/NSD ,/Z-- 4/CC- )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CC- )/Z-- Keledai/NSD ,/Z-- 6/CC- )/Z-- Simpanse/X-- ./Z--","Hewan/NSD dengan/R-- hubungan/NSD kekerabatan/NSD terdekat/ASP adalah/VSP 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z--","Hewan/NSD dengan/R-- hubungan/NSD kekerabatan/NSD terdekat/ADJ adalah/VBL 1/CD )/Z-- Gorilla/NSD ,/Z-- 2/CD )/Z-- Kuda/NSD ,/Z-- 3/CD )/Z-- Kambing/NSD ,/Z-- 4/CD )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CD )/Z-- Keledai/NSD ,/Z-- 6/CD )/Z-- Simpanse/NSD ./Z--"
"Menurut filogeni, hewan yang paling dekat kekerabatannya adalah: 1) Gorilla,  2) Kuda, 3) Kambing, 4) Orang utan, 5) Keledai, 6) Simpanse. ",059v003,"0,58",2,"Menurut/R-- filogeni/X-- ,/Z-- hewan/NSD yang/S-- paling/D-- dekat/ASP kekerabatan/NSD nya/PS3 adalah/O-- :/Z-- 1/CC- )/Z-- Gorilla/X-- ,/Z-- 2/CC- )/Z-- Kuda/NSD ,/Z-- 3/CC- )/Z-- Kambing/NSD ,/Z-- 4/CC- )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CC- )/Z-- Keledai/X-- ,/Z-- 6/CC- )/Z-- Simpanse/X-- ./Z--","Menurut/R-- filogeni/NSD ,/Z-- hewan/NSD yang/S-- paling/ASP dekat/ASP kekerabatannya/NSD PAD/PAD adalah/VSP :/Z-- 1)/O-- PAD/PAD Gorilla/NSD ,/Z-- 2)/O-- PAD/PAD Kuda/NSD ,/Z-- 3)/O-- PAD/PAD Kambing/NSD ,/Z-- 4)/O-- PAD/PAD Orang/NSD utan/X-- ,/Z-- 5)/O-- PAD/PAD Keledai/NSD ,/Z-- 6)/O-- PAD/PAD Simpanse/NSD ./Z--  ","Menurut/R-- filogeni/F-- ,/Z-- hewan/NSD yang/S-- paling/ADV dekat/ADJ kekerabatan/NSD nya/PRF adalah/VBL :/Z-- 1/CD )/Z-- Gorilla/NSD ,/Z-- 2/CD )/Z-- Kuda/NSD ,/Z-- 3/CD )/Z-- Kambing/NSD ,/Z-- 4/CD )/Z-- Orang/NSD utan/F-- ,/Z-- 5/CD )/Z-- Keledai/NSD ,/Z-- 6/CD )/Z-- Simpanse/NSD ./Z--"
Generasi sporofit pada tumbuhan lumut menghasilkan,062v001,"0,38",2,Generasi/NSD sporofit/X-- pada/R-- tumbuhan/NSD lumut/X-- menghasilkan/VSA,Generasi/NSD sporofit/NSD pada/R-- tumbuhan/NSD lumut/NSD menghasilkan/VSA  ,Generasi/NSD sporofit/NSD pada/R-- tumbuhan/NSD lumut/NSD menghasilkan/VBT
Sporofit pada tumbuhan lumut adalah generasi yang membuat,062v002,"0,50",2,Sporofit/X-- pada/R-- tumbuhan/NSD lumut/X-- adalah/O-- generasi/NSD yang/S-- membuat/VSA,Sporofit/NSD pada/R-- tumbuhan/NSD lumut/NSD adalah/VSP generasi/NSD yang/S-- membuat/VSA  ,Sporofit/F-- pada/R-- tumbuhan/NSD lumut/NSD adalah/VBL generasi/NSD yang/S-- membuat/VBT
"Pada tumbuhan lumut, sporofit adalah generasi yang menghasilkan",062v003,"0,71",1,"Pada/R-- tumbuhan/NSD lumut/X-- ,/Z-- sporofit/X-- adalah/O-- generasi/NSD yang/S-- menghasilkan/VSA","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- sporofit/NSD adalah/VSP generasi/NSD yang/S-- menghasilkan/VSA  ","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- sporofit/F-- adalah/VBL generasi/NSD yang/S-- menghasilkan/VBT"
"Tumbuhan lumut memiliki sistem reproduksi dalam satu pohon, yang berarti",064v001,"0,46",2,"Tumbuhan/NSD lumut/X-- memiliki/VSA sistem/NSD reproduksi/NSD dalam/ASP satu/CC- pohon/NSD ,/Z-- yang/S-- berarti/VSA","Tumbuhan/NSD lumut/NSD memiliki/VSA sistem/NSD reproduksi/NSD dalam/R-- satu/O-- pohon/NSD ,/Z-- yang/S-- berarti/VSA  ","Tumbuhan/NSD lumut/NSD memiliki/VBT sistem/NSD reproduksi/NSD dalam/R-- satu/NUM pohon/NSD ,/Z-- yang/S-- berarti/VBI"
"Tumbuhan lumut ada yang berumah satu, artinya ",064v002,"0,14",3,"Tumbuhan/NSD lumut/X-- ada/ASP yang/S-- berumah/VSA satu/CC- ,/Z-- arti/NSD nya/PS3","Tumbuhan/NSD lumut/NSD ada/VSA yang/S-- berumah/NSD satu/O-- ,/Z-- artinya/VSP PAD/PAD","Tumbuhan/NSD lumut/NSD ada/VBI yang/S-- berumah/VSA satu/NUM ,/Z-- arti/NSD nya/PRF"
Sistem reproduksi tumbuhan lumut adalah,064v003,"0,25",3,Sistem/NSD reproduksi/NSD tumbuhan/NSD lumut/X-- adalah/O--,Sistem/NSD reproduksi/NSD tumbuhan/NSD lumut/NSD adalah/VSP  ,Sistem/NSD reproduksi/NSD tumbuhan/NSD lumut/NSD adalah/VBL
"Pada tumbuhan lumut, bagian yang bertanggung jawab untuk menyerap air dan mineral adalah",067v001,"0,35",2,"Pada/R-- tumbuhan/NSD lumut/X-- ,/Z-- bagian/NSD yang/S-- bertanggung/VSA jawab/VSA untuk/R-- menyerap/VSA air/NSD dan/H-- mineral/F-- adalah/O--","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- bagian/NSD yang/S-- bertanggung/ASP jawab/ASP untuk/R-- menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- bagian/NSD yang/S-- bertanggung/VBL jawab/VBL untuk/R-- menyerap/VBT air/NSD dan/R-- mineral/NSD adalah/VBL"
"Di tumbuhan lumut, yang berperan untuk menyerap air dan mineral adalah",067v002,"0,50",2,"Di/R-- tumbuhan/NSD lumut/X-- ,/Z-- yang/S-- berperan/VSA untuk/R-- menyerap/VSA air/NSD dan/H-- mineral/F-- adalah/O--","Di/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- berperan/VSA untuk/R-- menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ","Di/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- berperan/VSA untuk/R-- menyerap/VBT air/NSD dan/CCA mineral/NSD adalah/VBL"
"Pada tumbuhan lumut, yang melaksanakan fungsi menyerap air dan mineral adalah",067v003,"0,71",1,"Pada/R-- tumbuhan/NSD lumut/X-- ,/Z-- yang/S-- melaksanakan/VSA fungsi/NSD menyerap/VSA air/NSD dan/H-- mineral/F-- adalah/O--","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- melaksanakan/VSA fungsi/NSD menyerap/VSA air/NSD dan/CC- mineral/NSD adalah/VSP  ","Pada/R-- tumbuhan/NSD lumut/NSD ,/Z-- yang/S-- melaksanakan/VBT fungsi/NSD menyerap/VBT air/NSD dan/CCA mineral/NSD adalah/VBL"
Bagian dari tumbuhan Pteridophyta yang menunjukkan perkembangan lebih maju dibandingkan tumbuhan Bryophyta adalah,070v001,"0,29",3,Bagian/NSD dari/R-- tumbuhan/NSD Pteridophyta/X-- yang/S-- menunjukkan/VSA perkembangan/NSD lebih/D-- maju/VSA dibandingkan/VSP tumbuhan/NSD Bryophyta/X-- adalah/O--,Bagian/NSD dari/R-- tumbuhan/NSD Pteridophyta/NSD yang/S-- menunjukkan/VSA perkembangan/NSD lebih/B-- maju/ASP dibandingkan/VSP tumbuhan/NSD Bryophyta/NSD adalah/VSB,Bagian/NSD dari/R-- tumbuhan/NSD Pteridophyta/F-- yang/S-- menunjukkan/VBT perkembangan/NSD lebih/ADV maju/ADJ dibandingkan/VSP tumbuhan/NSD Bryophyta/F-- adalah/VBL
Bagian tumbuhan Pteridophyta yang menunjukkan kemajuan lebih lanjut dibandingkan dengan tumbuhan Bryophyta adalah,070v002,"0,29",3,Bagian/NSD tumbuhan/NSD Pteridophyta/X-- yang/S-- menunjukkan/VSA kemajuan/NSD lebih/D-- lanjut/VSA dibandingkan/VSP dengan/R-- tumbuhan/NSD Bryophyta/X-- adalah/O--,Bagian/NSD tumbuhan/NSD Pteridophyta/NSD yang/S-- menunjukkan/VSA kemajuan/NSD lebih/B-- lanjut/ASP dibandingkan/VSP dengan/R-- tumbuhan/NSD Bryophyta/NSD adalah/VSB,Bagian/NSD tumbuhan/NSD Pteridophyta/F-- yang/S-- menunjukkan/VBT kemajuan/NSD lebih/ADV lanjut/ADJ dibandingkan/VSP dengan/R-- tumbuhan/NSD Bryophyta/F-- adalah/VBL
"Di tumbuhan Pteridophyta, bagian yang menunjukkan tingkat perkembangan lebih maju daripada tumbuhan Bryophyta adalah",070v003,"0,25",3,"Di/R-- tumbuhan/NSD Pteridophyta/X-- ,/Z-- bagian/NSD yang/S-- menunjukkan/VSA tingkat/NSD perkembangan/NSD lebih/D-- maju/VSA daripada/S-- tumbuhan/NSD Bryophyta/X-- adalah/O--","Di/R-- tumbuhan/NSD Pteridophyta/NSD ,/Z-- bagian/NSD yang/S-- menunjukkan/VSA tingkat/NSD perkembangan/NSD lebih/B-- maju/ASP daripada/R-- tumbuhan/NSD Bryophyta/NSD adalah/VSB","Di/R-- tumbuhan/NSD Pteridophyta/F-- ,/Z-- bagian/NSD yang/S-- menunjukkan/VBT tingkat/NSD perkembangan/NSD lebih/ADV maju/ADJ daripada/R-- tumbuhan/NSD Bryophyta/F-- adalah/VBL"
"Fase-fase dalam perkembangbiakan tumbuhan paku yang urut adalah : 1) tumbuhan paku dengan sporangium, 2) protalium, 3) spora, 4) zigot, 5) embrio, 6) tumbuhan paku muda",072v001,"0,36",2,"Fase-fase/NSD PAD/PAD PAD/PAD dalam/ASP perkembangbiakan/NSD tumbuhan/NSD paku/NSD yang/S-- urut/VSA adalah/O-- :/Z-- 1/CC- )/Z-- tumbuhan/NSD paku/X-- dengan/R-- sporangium/X-- ,/Z-- 2/CC- )/Z-- protalium/X-- ,/Z-- 3/CC- )/Z-- spora/X-- ,/Z-- 4/CC- )/Z-- zigot/X-- ,/Z-- 5/CC- )/Z-- embrio/X-- ,/Z-- 6/CC- )/Z-- tumbuhan/NSD paku/NSD muda/ASP","Fase-fase/NSD PAD/PAD PAD/PAD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD yang/S-- urut/ASP adalah/VSB :/Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP","Fase/NSD -/Z-- fase/NSD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD yang/S-- urut/ADJ adalah/VBL :/Z-- 1/CD )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/CD )/Z-- protalium/F-- ,/Z-- 3/CD )/Z-- spora/NSD ,/Z-- 4/CD )/Z-- zigot/NSD ,/Z-- 5/CD )/Z-- embrio/NSD ,/Z-- 6/CD )/Z-- tumbuhan/NSD paku/NSD muda/ADJ"
"Ditemukan fase-fase dari perkembangbiakan tumbuhan paku adalah seperti berikut.1) tumbuhan paku dengan sporangium, 2)protalium, 3)spora, 4)zigot, 5)embrio, 6)tumbuhan paku muda. Dari fase-fase perkembangbiakan paku tersebut dapat disusun secara urut adalah",072v002,"0,29",3,"Ditemukan/VSP fase-fase/NSD PAD/PAD PAD/PAD dari/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD adalah/O-- seperti/R-- berikut/VSA ./Z-- 1/X-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/X-- ,/Z-- 2/CC- )/Z-- protalium/X-- ,/Z-- 3/CC- )/Z-- spora/X-- ,/Z-- 4/CC- )/Z-- zigot/X-- ,/Z-- 5)embrio/X-- PAD/PAD PAD/PAD ,/Z-- 6/CC- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z-- Dari/R-- fase-fase/NSD PAD/PAD PAD/PAD perkembangbiakan/NSD paku/NSD tersebut/B-- dapat/VSA disusun/VSP secara/R-- urut/VSA adalah/O--","Ditemukan/VSP fase-fase/NSD PAD/PAD PAD/PAD dari/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD adalah/VSB seperti/B-- berikut/ASP ./Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z-- Dari/R-- fase-fase/NSD PAD/PAD PAD/PAD perkembangbiakan/NSD paku/NSD tersebut/PRN dapat/VSB disusun/VSP secara/R-- urut/ASP adalah/VSB","Ditemukan/VSP fase/NSD -/Z-- fase/NSD dari/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD adalah/VBL seperti/R-- berikut/ADJ ./Z-- 1/CD )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/CD )/Z-- protalium/F-- ,/Z-- 3/CD )/Z-- spora/NSD ,/Z-- 4/CD )/Z-- zigot/NSD ,/Z-- 5/CD )/Z-- embrio/NSD ,/Z-- 6/CD )/Z-- tumbuhan/NSD paku/NSD muda/ADJ ./Z-- dari/R-- fase/NSD -/Z-- fase/NSD perkembangbiakan/NSD paku/NSD tersebut/PRD dapat/VSA disusun/VSP secara/R-- urut/ADJ adalah/VBL"
"Berikut adalah fase-fase dalam perkembangbiakan tumbuhan paku, urutkan secara tepat: 1) tumbuhan paku dengan sporangium, 2) protalium, 3) spora, 4) zigot, 5) embrio, 6) tumbuhan paku muda.",072v003,"0,29",3,"Berikut/VSA adalah/O-- fase-fase/NSD PAD/PAD PAD/PAD dalam/ASP perkembangbiakan/NSD tumbuhan/NSD paku/NSD ,/Z-- urutkan/VSA secara/R-- tepat/ASP :/Z-- 1/CC- )/Z-- tumbuhan/NSD paku/X-- dengan/R-- sporangium/X-- ,/Z-- 2/CC- )/Z-- protalium/X-- ,/Z-- 3/CC- )/Z-- spora/X-- ,/Z-- 4/CC- )/Z-- zigot/X-- ,/Z-- 5/CC- )/Z-- embrio/X-- ,/Z-- 6/CC- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z--","Berikut/ASP adalah/VSB fase-fase/NSD PAD/PAD PAD/PAD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD ,/Z-- urutkan/VSA secara/R-- tepat/ASP :/Z-- 1/O-- )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/O-- )/Z-- protalium/NSD ,/Z-- 3/O-- )/Z-- spora/NSD ,/Z-- 4/O-- )/Z-- zigot/NSD ,/Z-- 5/O-- )/Z-- embrio/NSD ,/Z-- 6/O-- )/Z-- tumbuhan/NSD paku/NSD muda/ASP ./Z--","Berikut/ADJ adalah/VBL fase/NSD -/Z-- fase/NSD dalam/R-- perkembangbiakan/NSD tumbuhan/NSD paku/NSD ,/Z-- urutkan/VSA secara/R-- tepat/ADV :/Z-- 1/CD )/Z-- tumbuhan/NSD paku/NSD dengan/R-- sporangium/NSD ,/Z-- 2/CD )/Z-- protalium/F-- ,/Z-- 3/CD )/Z-- spora/NSD ,/Z-- 4/CD )/Z-- zigot/NSD ,/Z-- 5/CD )/Z-- embrio/NSD ,/Z-- 6/CD )/Z-- tumbuhan/NSD paku/NSD muda/ADJ ./Z--"
Bagian tumbuhan Pteridophyta yang membentuk gamet adalah,073v001,"0,45",2,Bagian/NSD tumbuhan/NSD Pteridophyta/X-- yang/S-- membentuk/VSA gamet/X-- adalah/O--,Bagian/NSD tumbuhan/NSD Pteridophyta/NSD yang/S-- membentuk/VSA gamet/NSD adalah/VSB,Bagian/NSD tumbuhan/NSD Pteridophyta/F-- yang/S-- membentuk/VBT gamet/NSD adalah/VBL
"Pada tumbuhan Pteridophyta, gamet terbentuk di bagian",073v002,"0,00",3,"Pada/R-- tumbuhan/NSD Pteridophyta/X-- ,/Z-- gamet/X-- terbentuk/VSP di/R-- bagian/NSD","Pada/R-- tumbuhan/NSD Pteridophyta/NSD ,/Z-- gamet/NSD terbentuk/VSP di/R-- bagian/NSD","Pada/R-- tumbuhan/NSD Pteridophyta/NSD ,/Z-- gamet/NSD terbentuk/VSP di/PRD bagian/NSD"
Struktur yang menghasilkan gamet pada tumbuhan Pteridophyta ada di bagian,073v003,"0,00",3,Struktur/NSD yang/S-- menghasilkan/VSA gamet/X-- pada/R-- tumbuhan/NSD Pteridophyta/X-- ada/ASP di/R-- bagian/NSD,Struktur/NSD yang/S-- menghasilkan/VSA gamet/NSD pada/R-- tumbuhan/NSD Pteridophyta/NSD ada/VSB di/R-- bagian/NSD,Struktur/NSD yang/S-- menghasilkan/VBT gamet/NSD pada/R-- tumbuhan/NSD Pteridophyta/F-- ada/VSA di/PRD bagian/NSD
Protalium adalah bagian dari generasi paku yang menghasilkan,082v001,"0,46",2,Protalium/X-- adalah/O-- bagian/NSD dari/R-- generasi/NSD paku/NSD yang/S-- menghasilkan/VSA,Protalium/NSD adalah/VSB bagian/NSD dari/R-- generasi/NSD paku/NSD yang/S-- menghasilkan/VSA,Protalium/F-- adalah/VBL bagian/NSD dari/R-- generasi/NSD paku/NSD yang/S-- menghasilkan/VBT
Protalium termasuk generasi pada tumbuhan paku yang menghasilkan,082v002,"0,63",2,Protalium/X-- termasuk/R-- generasi/NSD pada/R-- tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA,Protalium/NSD termasuk/VSB generasi/NSD pada/R-- tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA,Protalium/F-- termasuk/VBI generasi/NSD pada/R-- tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VBT
Generasi tumbuhan paku yang menghasilkan protalium adalah,082v003,"0,33",2,Generasi/NSD tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA protalium/X-- adalah/O--,Generasi/NSD tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VSA protalium/NSD adalah/VSB,Generasi/NSD tumbuhan/NSD paku/NSD yang/S-- menghasilkan/VBT protalium/F-- adalah/VBL
Tumbuhan manakah yang memiliki kabium,088v001,"0,36",2,Tumbuhan/NSD mana/W-- kah/T-- yang/S-- memiliki/VSA kabium/X--,Tumbuhan/NSD manakah/PRQ PAD/PAD yang/S-- memiliki/VSA kabium/NSD,Tumbuhan/NSD mana/PRQ kah/PRT yang/S-- memiliki/VBT kabium/NSD
Tumbuhan apa yang memiliki kambium,088v002,"0,50",2,Tumbuhan/NSD apa/W-- yang/S-- memiliki/VSA kambium/NSD,Tumbuhan/NSD apa/PRQ yang/S-- memiliki/VSA kambium/NSD,Tumbuhan/NSD apa/PRQ yang/S-- memiliki/VBT kambium/NSD
Contoh tumbuhan yang memiliki kabium,088v003,"0,75",1,Contoh/NSD tumbuhan/NSD yang/S-- memiliki/VSA kabium/X--,Contoh/NSD tumbuhan/NSD yang/S-- memiliki/VSA kabium/NSD,Contoh/NSD tumbuhan/NSD yang/S-- memiliki/VBT kabium/NSD
Pipa kapiler yang mengangkut air di dalam tubuh tumbuhan adalah,089v001,"0,50",2,Pipa/NSD kapiler/X-- yang/S-- mengangkut/VSA air/NSD di/R-- dalam/ASP tubuh/NSD tumbuhan/NSD adalah/O--,Pipa/NSD kapiler/NSD yang/S-- mengangkut/VSA air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VSB,Pipa/NSD kapiler/NSD yang/S-- mengangkut/VBT air/NSD di/PRD dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VBL
Pipa kapiler yang berperan dalam pengangkutan air di dalam tubuh tumbuhan adalah,089v002,"0,71",1,Pipa/NSD kapiler/X-- yang/S-- berperan/VSA dalam/ASP pengangkutan/NSD air/NSD di/R-- dalam/ASP tubuh/NSD tumbuhan/NSD adalah/O--,Pipa/NSD kapiler/NSD yang/S-- berperan/VSA dalam/R-- pengangkutan/NSD air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VSB,Pipa/NSD kapiler/NSD yang/S-- berperan/VSA dalam/R-- pengangkutan/NSD air/NSD di/PRD dalam/R-- tubuh/NSD tumbuhan/NSD adalah/VBL
"Untuk mengangkut air di dalam tubuh tumbuhan, digunakan pipa kapiler yang disebut",089v003,"0,50",2,"Untuk/R-- mengangkut/VSA air/NSD di/R-- dalam/ASP tubuh/NSD tumbuhan/NSD ,/Z-- digunakan/VSP pipa/NSD kapiler/X-- yang/S-- disebut/VSP","Untuk/R-- mengangkut/VSA air/NSD di/R-- dalam/R-- tubuh/NSD tumbuhan/NSD ,/Z-- digunakan/VSP pipa/NSD kapiler/NSD yang/S-- disebut/VSP","Untuk/R-- mengangkut/VBT air/NSD di/PRD dalam/R-- tubuh/NSD tumbuhan/NSD ,/Z-- digunakan/VSP pipa/NSD kapiler/NSD yang/S-- disebut/VSP"
Sporangium adalah struktur,092v001,"0,60",2,Sporangium/X-- adalah/O-- struktur/NSD,Sporangium/NSD adalah/VSB struktur/NSD,Sporangium/NSD adalah/VBL struktur/NSD
Pengertin sporangium yaitu,092v002,"0,33",2,Pengertin/NSD sporangium/X-- yaitu/O--,Pengertian/NSD sporangium/NSD yaitu/VSB,Pengertin/NSD sporangium/NSD yaitu/O--
Sporangium adalah,092v003,"0,20",3,Sporangium/X-- adalah/O--,Sporangium/NSD adalah/VSB,Sporangium/NSD adalah/VBL
