soal,versi-soal,prob_benar_menjawab,level,gpt,taksonomi_bloom
Tempat terjadinya pembuahan pada bunga tumbuhan berbiji tertutup (Angiospermae) disebut,017v001,"0,71",1,Tempat/NSD terjadinya/VSP pembuahan/NSD pada/R-- bunga/NSD tumbuhan/NSD berbiji/ASP tertutup/ASP (/Z-- Angiospermae/X-- )/Z-- disebut/VSP,C1-Mengingat
Komponen industri berikut yang bisa menyebabkan hujan asam adalah,019v001,"0,08",3,Komponen/NSD industri/NSD berikut/R-- yang/S-- bisa/VSA menyebabkan/VSA hujan/NSD asam/ASP adalah/VSA,C1-Mengingat
"Dalam eksperimen ""Pengaruh zat pewangi pakaian terhadap kehidupan ikan"", ikan yang digunakan memiliki jumlah dan berat yang sama. Ini adalah variabel yang diperhatikan dalam percobaan tersebut",021v001,"0,88",1,"Dalam/R-- eksperimen/NSD ""/Z-- Pengaruh/NSD zat/NSD pewangi/NSD pakaian/NSD terhadap/R-- kehidupan/NSD ikan/NSD ""/Z-- ,/Z-- ikan/NSD yang/S-- digunakan/VSP memiliki/VSA jumlah/NSD dan/CC- berat/NSD yang/S-- sama/ASP ./Z-- Ini/PRN adalah/VSA variabel/NSD yang/S-- diperhatikan/VSP dalam/R-- percobaan/NSD tersebut/PRN",C2-Memahami
Hewan-hewan yang ditemukan di zona persebaran makhluk hidup di wilayah barat Indonesia adalah,024v001,"0,09",3,Hewan-hewan/NSD PAD/PAD PAD/PAD yang/S-- ditemukan/VSP di/R-- zona/NSD persebaran/NSD makhluk/NSD hidup/ASP di/R-- wilayah/NSD barat/NSD Indonesia/NSD adalah/VSA,C1-Mengingat
Daun pada tumbuhan paku berfungsi untuk melakukan proses fotosintesis,025v001,"0,29",3,Daun/NSD pada/R-- tumbuhan/NSD paku/NSD berfungsi/VSP untuk/R-- melakukan/VSA proses/NSD fotosintesis/NSD,C1-Mengingat
Tumbuhan paku dengan spora beragam jenis dan ukuran disebut,026v001,"0,13",3,Tumbuhan/NSD paku/NSD dengan/R-- spora/NSD beragam/ASP jenis/NSD dan/CC- ukuran/NSD disebut/VSP,C1-Mengingat
"Berdasarkan ciri-ciri, nomor yang termasuk ciri tumbuhan biji tertutup adalah 1)Terjadi pembuahan ganda, 2)Bakal biji terbungkus oleh daun buah , 3)Berkeping biji, 4)Daun kaku dan sempit. ",027v001,"0,27",3,"Berdasarkan/R-- ciri-ciri/NSD ,/Z-- nomor/NSD yang/S-- termasuk/VSP ciri/NSD tumbuhan/NSD biji/NSD tertutup/ASP adalah/VSA 1)/Z-- Terjadi/VSP pembuahan/NSD ganda/ASP ,/Z-- 2)/Z-- Bakal/NSD biji/NSD terbungkus/VSP oleh/R-- daun/NSD buah/NSD ,/Z-- 3)/Z-- Berkeping/VSP biji/NSD ,/Z-- 4)/Z-- Daun/NSD kaku/ASP dan/CC- sempit/ASP ./Z--",C1-Mengingat
Bagian pada bunga tumbuhan berbiji tertutup (Angiospermae) di mana pembuahan terjadi disebut,029v001,"0,18",3,"Bagian/NSD pada/R-- bunga/NSD tumbuhan/NSD berbiji/ASP tertutup/ASP (/Z-- Angiospermae/X-- )/Z-- di/R-- mana/PRQ pembuahan/NSD terjadi/VSP disebut/VSP
",C1-Mengingat
Ciri-ciri yang tidak dimiliki oleh tumbuhan lumut adalah,041v001,"0,13",3,Ciri-ciri/NSD PAD/PAD PAD/PAD yang/S-- tidak/ASP dimiliki/VSP oleh/R-- tumbuhan/NSD lumut/NSD adalah/VSA,C1-Mengingat
"Jika spora paku jatuh di lokasi yang sesuai, akan tumbuh menjadi",042v001,"0,25",3,"Jika/S-- spora/NSD paku/NSD jatuh/VSP di/R-- lokasi/NSD yang/S-- sesuai/ASP ,/Z-- akan/VSB tumbuh/VSP menjadi/R--
",C1-Mengingat
"Klasifikasi berdasarkan ciri-ciri morfologi, anatomi, dan fisiologi disebut",048v001,"0,13",3,"Klasifikasi/NSD berdasarkan/R-- ciri-ciri/NSD morfologi/NSD ,/Z-- anatomi/NSD ,/Z-- dan/CC- fisiologi/NSD disebut/VSP",C1-Mengingat
"Tumbuhan berbiji tertutup kelas dikotil dibagi menjadi 3 subkelas berdasarkan ada atau tidaknya daun mahkota bunga, yaitu",049v001,"0,71",1,"Tumbuhan/NSD berbiji/ASP tertutup/ASP kelas/NSD dikotil/NSD dibagi/VSP menjadi/R-- 3/NUM subkelas/NSD berdasarkan/R-- ada/VSP atau/CC- tidak/ASP nya/X-- daun/NSD mahkota/NSD bunga/NSD ,/Z-- yaitu/ASP
",C1-Mengingat
Daftar yang berisi informasi tentang makhluk hidup untuk mengelompokkannya berdasarkan ciri-ciri adalah,051v001,"0,17",3,Daftar/NSD yang/S-- berisi/VSP informasi/NSD tentang/R-- makhluk/NSD hidup/ASP untuk/R-- mengelompokkannya/VSA berdasarkan/R-- ciri-ciri/NSD adalah/VSA,C2-Memahami
Limbah yang membutuhkan waktu lama untuk terdegradasi adalah,052v001,"0,22",3,Limbah/NSD yang/S-- membutuhkan/VSP waktu/NSD lama/ASP untuk/R-- terdegradasi/VSP adalah/VSA,C1-Mengingat
Pernyataan yang salah mengenai sistem 4 kingdom adalah,054v001,"0,25",3,Pernyataan/NSD yang/S-- salah/ASP mengenai/R-- sistem/NSD 4/O-- kingdom/NSD adalah/VSA,C2-Memahami
Keanekaragaman jenis terlihat dari perbedaan,056v001,"0,22",3,Keanekaragaman/NSD jenis/NSD terlihat/VSP dari/R-- perbedaan/NSD,C1-Mengingat
Ciri-ciri hewan di wilayah Oriental adalah,057v001,"0,13",3,Ciri-ciri/NSD PAD/PAD PAD/PAD hewan/NSD di/R-- wilayah/NSD Oriental/NSD adalah/VSA,C1-Mengingat
"Bakteri ini menggunakan cahaya matahari sebagai sumber energi dan memiliki pigmen fotosintetik. Berdasarkan sifat hidupnya, bakteri ini termasuk dalam kelompok",060v001,"0,29",3,"Bakteri/NSD ini/PRN menggunakan/VSP cahaya/NSD matahari/NSD sebagai/R-- sumber/NSD energi/NSD dan/CC- memiliki/VSP pigmen/NSD fotosintetik/NSD ./Z-- Berdasarkan/R-- sifat/NSD hidupnya/PRN ,/Z-- bakteri/NSD ini/PRN termasuk/VSP dalam/R-- kelompok/NSD",C2-Memahami
Jenis-jenis tumbuhan yang berbeda dalam satu genus adalah contoh dari keanekaragaman tingkat jenis dalam sistem pengelompokan tumbuhan,061v001,"0,20",3,"Jenis-jenis/NSD tumbuhan/NSD yang/S-- berbeda/ASP dalam/R-- satu/NUM genus/NSD adalah/VSA contoh/NSD dari/R-- keanekaragaman/NSD tingkat/NSD jenis/NSD dalam/R-- sistem/NSD pengelompokan/NSD tumbuhan/NSD
",C2-Memahami
Bakteri yang membantu dalam pembuatan keju sebagai salah satu produk makanan,063v001,"0,17",3,Bakteri/NSD yang/S-- membantu/VSP dalam/R-- pembuatan/NSD keju/NSD sebagai/R-- salah/ASP satu/O-- produk/NSD makanan/NSD,C1-Mengingat
Urutan yang benar dari ujung ke pangkal bagian-bagian daun tumbuhan lumut adalah,069v001,"0,25",3,Urutan/NSD yang/S-- benar/ASP dari/R-- ujung/NSD ke/CC- pangkal/NSD bagian-bagian/NSD daun/NSD tumbuhan/NSD lumut/NSD adalah/VSA,C2-Memahami
"Pada siklus hidup tumbuhan lumut, fase setelah spora adalah",071v001,"0,22",3,"Pada/R-- siklus/NSD hidup/NSD tumbuhan/NSD lumut/NSD ,/Z-- fase/NSD setelah/R-- spora/NSD adalah/VSA",C1-Mengingat
Tidak ada pembuluh angkut pada,075v001,"0,18",3,Tidak/ASP ada/VSP pembuluh/NSD angkut/NSD pada/R--,C1-Mengingat
Pengelompokan organisme berdasarkan,076v001,"0,13",3,Pengelompokan/NSD organisme/NSD berdasarkan/R--,C4-Menganalisis
Bagian sel bakteri yang dimaksud memiliki DNA non-kromosom sirkuler yang lebih kecil dari DNA kromosom,077v001,"0,20",3,"Bagian/NSD sel/NSD bakteri/NSD yang/S-- dimaksud/VSP memiliki/VSP DNA/NSD non-kromosom/NSD sirkuler/NSD yang/S-- lebih/ASP kecil/ASP dari/R-- DNA/NSD kromosom/NSD
",C1-Mengingat
Selaginella diklasifikasikan sebagai paku heterospora karena,079v001,"0,13",3,Selaginella/NSD diklasifikasikan/VSP sebagai/R-- paku/NSD heterospora/NSD karena/S--,C1-Mengingat
Bakteri ini dapat merusak taman anggrek,081v001,"0,17",3,Bakteri/NSD ini/PRN dapat/VSP merusak/VSP taman/NSD anggrek/NSD,C1-Mengingat
Salah satu hal yang tidak termasuk dalam ketentuan sistem binomial nomenklatur adalah,083v001,"0,13",3,Salah/ASP satu/O-- hal/NSD yang/S-- tidak/ASP termasuk/VSP dalam/R-- ketentuan/NSD sistem/NSD binomial/NSD nomenklatur/NSD adalah/VSA,C1-Mengingat
Peneliti mengamati lingkungan X dan melihat banyak bayi lahir cacat. Kekurangan gizi dan kondisi lingkungan yang buruk adalah penyebabnya. Kasus ini berhubungan dengan bidang studi,084v001,"0,22",3,Peneliti/NSD mengamati/VSP lingkungan/NSD X/NSD dan/CC- melihat/VSP banyak/ASP bayi/NSD lahir/VSP cacat/ASP ./. Kekurangan/NSD gizi/NSD dan/CC- kondisi/NSD lingkungan/NSD yang/S-- buruk/ASP adalah/VSA penyebabnya/NSD ./Z-- Kasus/NSD ini/PRN berhubungan/VSP dengan/R-- bidang/NSD studi/NSD,C2-Memahami
Siapa yang mengatakan bahwa makhluk hidup dibagi menjadi dua kingdom,085v001,"0,20",3,Siapa/PRN yang/S-- mengatakan/VSP bahwa/S-- makhluk/NSD hidup/NSD dibagi/VSP menjadi/R-- dua/O-- kingdom/NSD,C1-Mengingat
Beberapa perubahan lingkungan yang disebabkan oleh aktivitas manusia,087v001,"0,25",3,Beberapa/ASP perubahan/NSD lingkungan/NSD yang/S-- disebabkan/VSP oleh/R-- aktivitas/NSD manusia/NSD,C2-Memahami
Seseorang akan melakukan transplantasi hati. Hati dipelajari pada tingkat organisasi,090v001,"0,23",3,Seseorang/NSD akan/VSP melakukan/VSP transplantasi/NSD hati/NSD ./Z-- Hati/NSD dipelajari/VSP pada/R-- tingkat/NSD organisasi/NSD,C1-Mengingat
Konversi hutan menjadi perkebunan dapat mengakibatkan ketidakseimbangan lingkungan karena,091v001,"0,20",3,Konversi/NSD hutan/NSD menjadi/VSP perkebunan/NSD dapat/VSP mengakibatkan/VSP ketidakseimbangan/NSD lingkungan/NSD karena/R--,C1-Mengingat
Tumbuhan lumut tersebar luas di seluruh dunia karena,094v001,"0,17",3,Tumbuhan/NSD lumut/NSD tersebar/VSP luas/ASP di/R-- seluruh/NSD dunia/NSD karena/R--,C2-Memahami
Keanekaragaman jenis tertinggi terdapat di dalam ekosistem.,098v001,"0,17",3,Keanekaragaman/NSD jenis/NSD tertinggi/ASP terdapat/VSP di/R-- dalam/R-- ekosistem/NSD ./Z--,C2-Memahami
Pengolahan sampah organik yang benar adalah,101v001,"0,14",3,Pengolahan/NSD sampah/NSD organik/NSD yang/S-- benar/ASP adalah/VSA,C2-Memahami
Tumbuhan yang termasuk dalam kelompok Gymnospermae adalah,103v001,"0,20",3,Tumbuhan/NSD yang/S-- termasuk/VSP dalam/R-- kelompok/NSD Gymnospermae/NSD adalah/VSA,C1-Mengingat
"Kejadian berikut ini, yang tidak dipelajari dalam ilmu biologi",107v001,"0,88",1,"Kejadian/NSD berikut/ASP ini/PRN ,/Z-- yang/S-- tidak/ASP dipelajari/VSP dalam/R-- ilmu/NSD biologi/NSD",C1-Mengingat
Struktur pada Bryophyta yang menyerupai akar dan berfungsi membawa air serta nutrisi ke jaringan adalah,109v001,"0,08",3,Struktur/NSD pada/R-- Bryophyta/NSD yang/S-- menyerupai/VSP akar/NSD dan/CC- berfungsi/VSP membawa/VSP air/NSD serta/CC- nutrisi/NSD ke/R-- jaringan/NSD adalah/VSA,C1-Mengingat
"Bryophyta adalah tumbuhan yang masih memiliki ciri-ciri tumbuhan talus, yaitu",111v001,"0,14",3,"Bryophyta/NSD adalah/VSA tumbuhan/NSD yang/S-- masih/ASP memiliki/VSP ciri-ciri/NSD tumbuhan/NSD talus/NSD ,/Z-- yaitu/PRN",C1-Mengingat
